Altium Designer Pick and Place Locations
C:\Documents\Altium\SM_Project\CASS\CAM-ALTERA_STM\V1.4\ECAD\Project Outputs for CAM_DVB-CI_v1.4\CAM_DVB-CI_v1.4_rev.1.4_Pick&Place 2025-03-16 23-35\CAM_DVB-CI_v1.4_rev.1.4_Pick&Place 2025-03-16 23-35.csv

========================================================================================================================
File Design Information:

Date:       16.03.25
Time:       23:35
Revision:   daae2ba1f6afcf20145f15b218fdde5081b70c5c
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Comment","Description"
"C1","CAP_0402_1005","40.0000","50.4000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C2","CAP_0402_1005","39.9000","60.5000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C3","CAP_0402_1005","39.7000","41.2000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C5","CAP_0402_1005","82.1000","68.6000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C6","CAP_0402_1005","80.6000","63.3000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C7","CAP_0402_1005","80.6000","64.6000","0","TopLayer","1 µF","CAP CER 1UF 10V X5R 0402"
"C8","CAP_0402_1005","87.6000","62.9000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C9","CAP_0402_1005","76.8000","54.6000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C10","CAP_0402_1005","86.2500","50.5000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C11","CAP_0402_1005","73.2500","56.7500","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C12","CAP_0402_1005","76.7000","64.6000","0","TopLayer","1 µF","CAP CER 1UF 10V X5R 0402"
"C13","CAP_0603_1608","76.6000","66.0000","0","TopLayer","CC0603KRX5R6BB106","CAP CER 10UF 10V X5R 0603"
"C14","CAP_0402_1005","40.1000","68.5000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C15","CAP_0402_1005","41.9000","63.3000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C16","CAP_0402_1005","37.1000","30.3000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C17","CAP_0402_1005","39.3000","66.1000","270","TopLayer","1 µF","CAP CER 1UF 16V X5R 0402"
"C18","CAP_0402_1005","85.9000","69.1750","0","TopLayer","12 pF","CAP CER 12PF 50V C0G/NPO 0402"
"C19","CAP_0402_1005","84.1000","64.7000","0","TopLayer","12 pF","CAP CER 12PF 50V C0G/NPO 0402"
"C20","CAP_POL_1206_3216","56.0000","23.5000","270","TopLayer","10 µF","CAP TANT 10UF 10% 16V 1206"
"C21","CAP_POL_1206_3216","53.5000","23.5000","270","TopLayer","10 µF","CAP TANT 10UF 10% 16V 1206"
"C22","CAP_0402_1005","89.9000","36.5000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C23","CAP_0402_1005","76.2000","29.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C24","CAP_0603_1608","78.5000","29.0000","90","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C25","CAP_0603_1608","88.4000","28.0000","270","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C26","CAP_0603_1608","88.4000","24.2000","90","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C27","CAP_0402_1005","88.4000","21.7000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C28","CAP_0402_1005","83.1000","22.7000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C29","CAP_0603_1608","84.4000","22.0000","90","TopLayer","4.7 µF","CAP CER 4.7UF 10V X5R 0603"
"C30","CAP_0603_1608","61.2500","27.2500","90","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C31","CAP_0603_1608","71.2500","26.2500","90","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C32","CAP_0402_1005","70.6000","22.2000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C33","CAP_0402_1005","65.5000","22.4000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C34","CAP_0603_1608","67.2500","22.2500","90","TopLayer","4.7 µF","CAP CER 4.7UF 10V X5R 0603"
"C35","CAP_0402_1005","43.0000","67.3000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C36","CAP_0402_1005","72.2500","67.2500","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C37","CAP_0402_1005","67.0000","58.0000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C38","CAP_0402_1005","54.4000","58.7000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C39","CAP_0402_1005","45.6500","41.5000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C40","CAP_0402_1005","58.0000","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C41","CAP_0402_1005","65.9000","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C42","CAP_0402_1005","73.8000","38.0000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C43","CAP_0402_1005","74.1000","48.5000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C44","CAP_0402_1005","60.9000","58.3000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C45","CAP_0402_1005","56.3000","58.7000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C46","CAP_0402_1005","46.5000","52.4000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C47","CAP_0402_1005","46.0500","48.7000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C48","CAP_0402_1005","46.1000","44.8000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C49","CAP_0402_1005","45.6000","39.7000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C50","CAP_0402_1005","55.7500","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C51","CAP_0402_1005","61.7500","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C52","CAP_0402_1005","73.7000","39.9000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C53","CAP_0402_1005","74.2500","46.7500","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C54","CAP_0402_1005","74.1000","50.3000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C55","CAP_0402_1005","71.2500","56.7500","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C56","CAP_0402_1005","46.5000","54.7500","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C57","CAP_0402_1005","50.7500","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C58","CAP_0402_1005","74.0000","36.0000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C59","CAP_0603_1608","73.5000","22.5000","90","TopLayer","CC0603KRX5R6BB106","CAP CER 10UF 10V X5R 0603"
"C60","CAP_0603_1608","76.0000","32.5000","90","TopLayer","CC0603KRX5R6BB106","CAP CER 10UF 10V X5R 0603"
"C61","CAP_0402_1005","69.0000","58.0600","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C62","CAP_0402_1005","50.5000","57.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C63","CAP_0402_1005","53.5000","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C64","CAP_0402_1005","68.2000","31.0000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C65","CAP_0402_1005","75.8000","39.9000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"FB1","FER_0603_1608","76.6000","67.7000","180","TopLayer","600 Ohms @ 100 MHz","FERRITE BEAD 600 OHM 0603 1LN"
"FB2","FER_0603_1608","80.2000","66.0000","180","TopLayer","600 Ohms @ 100 MHz","FERRITE BEAD 600 OHM 0603 1LN"
"FB3","FER_0603_1608","86.4000","22.0000","90","TopLayer","220 Ohms @ 100 MHz","FERRITE BEAD 220 OHM 0603 1LN"
"FB4","FER_0603_1608","69.0000","22.2500","90","TopLayer","220 Ohms @ 100 MHz","FERRITE BEAD 220 OHM 0603 1LN"
"FB5","FER_0603_1608","73.5000","26.2000","90","TopLayer","220 Ohms @ 100 MHz","FERRITE BEAD 220 OHM 0603 1LN"
"FB6","FER_0603_1608","78.5000","32.5000","90","TopLayer","220 Ohms @ 100 MHz","FERRITE BEAD 220 OHM 0603 1LN"
"IC1","QFP50P900X900X160-48N","83.5000","57.0000","270","TopLayer","STM32F302C8T6","Integrated Circuit"
"IC2","SOIC127P600X175-8N","47.5000","23.5000","0","TopLayer","TPS2041BD","Integrated Circuit"
"IC3","ON_SEMI_SOT-223_ST(318H)","84.8500","33.2500","180","TopLayer","NCP1117ST25T3G","IC REG LINEAR 2.5V 1A SOT223"
"IC4","SON80P400X400X100-9N-D","79.5000","23.7500","0","TopLayer","ST1S10PUR","Integrated Circuit"
"IC5","SON80P400X400X100-9N-D","61.5000","23.5000","0","TopLayer","ST1S10PUR","Integrated Circuit"
"IC6","SOIC127P790X216-8N","66.5000","66.0000","180","TopLayer","MT25QL128ABA1ESE-0SIT_TR","Integrated Circuit"
"IC7","SOIC127P790X216-8N","82.0000","40.5000","0","TopLayer","W25Q64CVSSIG","Integrated Circuit"
"IC8","DS28E01P100T","82.1000","47.8000","180","TopLayer","DS28E01P-100+T","Integrated Circuit"
"IC9","SOIC127P600X175-8N","73.6000","60.7000","180","TopLayer","ATECC608A-SSHDA-B","Integrated Circuit"
"IC10","SOP65P640X110-24N","34.7000","56.1000","0","TopLayer","74CBTLV3861PW,118","Integrated Circuit"
"IC11","SOP65P640X110-24N","34.7000","46.8500","0","TopLayer","74CBTLV3861PW,118","Integrated Circuit"
"IC12","SOP65P640X110-24N","34.7000","37.6000","0","TopLayer","74CBTLV3861PW,118","Integrated Circuit"
"IC14","SOP65P640X110-24N","34.6380","25.4250","0","TopLayer","74CBTLV3861PW,118","Integrated Circuit"
"IC15","SOT65P212X110-5N","41.3000","66.0000","270","TopLayer","74HC1G14GW,125","Integrated Circuit"
"IC16","SOP65P640X110-24N","34.7000","65.0000","0","TopLayer","74CBTLV3861PW,118","Integrated Circuit"
"J1","IC9-68RD-0.635SF","18.3000","45.0000","270","TopLayer","IC9-68RD-0.635SF","Connector Card Bus Socket"
"J2","PBS2-9","90.2500","58.5000","90","TopLayer","PBS2-9","Connector, Header, Pitch 2mm, H=4.3mm"
"J3","PBD2-10","53.2000","66.6000","0","TopLayer","PBD2-10","Connector"
"L1","BOURNS_SRN4018","84.9500","25.7250","0","TopLayer","10 µH","FIXED IND 10UH 1.3A 180 MOHM SMD"
"L2","BOURNS_SRN4018","67.2500","26.0000","0","TopLayer","10 µH","FIXED IND 10UH 1.3A 180 MOHM SMD"
"LED1","LEDC1608X80N","88.2500","39.2500","270","TopLayer","","LED, 0603, GREEN"
"LED2","LEDC1608X80N","88.2500","43.0000","90","TopLayer","LTST-C190KGKT","LED, 0603, GREEN"
"R1","RES_0402_1005","82.1000","66.5000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R2","YAGEO_RES_0402_1005","86.2500","47.7500","0","TopLayer","4.7 kOhms","RES 4.7K OHM 1% 1/16W 0402"
"R3","RES_0402_1005","76.8000","53.6000","180","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R4","RES_0603_1608","90.7500","39.5000","270","TopLayer","220 Ohms","RES 220 OHM 1% 1/10W 0603"
"R5","RES_0603_1608","90.7500","42.7500","270","TopLayer","220 Ohms","RES 220 OHM 1% 1/10W 0603"
"R6","RES_0402_1005","84.0000","44.5000","0","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R7","RES_0402_1005","75.6000","41.2000","180","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R8","RES_0402_1005","50.3000","27.5000","0","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R9","RES_0603_1608","75.5000","22.5000","270","TopLayer","31.6 kOhms","RES 31.6K OHM 1% 1/10W 0603"
"R10","RES_0402_1005","76.2000","26.4000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R11","RES_0603_1608","59.5000","27.2500","90","TopLayer","5.11 kOhms","RES 5.11K OHM 1% 1/10W 0603"
"R12","RES_0402_1005","58.0000","22.2500","90","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R13","RES_0402_1005","80.5000","44.5000","180","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R14","RES_0402_1005","75.5000","45.0000","180","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R15","YAGEO_RES_0402_1005","68.1000","60.9000","180","TopLayer","4.7 kOhms","RES 4.7K OHM 1% 1/16W 0402"
"R16","YAGEO_RES_0402_1005","68.1000","62.3000","180","TopLayer","4.7 kOhms","RES 4.7K OHM 1% 1/16W 0402"
"R17","RES_0402_1005","46.0500","50.7000","180","TopLayer","0 Ohms","RES 0 OHM JUMPER 1/16W 0402"
"R18","RES_0402_1005","46.0500","43.2000","0","TopLayer","0 Ohms","RES 0 OHM JUMPER 1/16W 0402"
"R19","RES_0402_1005","46.3000","63.1000","270","TopLayer","33 Ohms","RES 33 OHM 1% 1/16W 0402"
"R20","RES_0402_1005","53.2000","63.0000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R21","RES_0402_1005","58.2000","63.2000","180","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R22","RES_0603_1608","60.5000","66.0000","90","TopLayer","33 Ohms","RES 33 OHM 1% 1/10W 0603"
"R23","RES_0402_1005","64.9000","57.9000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R24","RES_0402_1005","49.2000","63.0000","90","TopLayer","1 kOhms","RES 1K OHM 1% 1/16W 0402"
"R25","RES_0402_1005","63.0000","57.9000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R26","RES_0402_1005","58.2000","58.7000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R27","RESNET_2506-16_CONCAVE","26.0000","64.9000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R28","RES_0402_1005","60.0000","31.0000","90","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"R29","RES_0402_1005","46.0500","45.8000","0","TopLayer","0 Ohms","RES 0 OHM JUMPER 1/16W 0402"
"R30","RESNET_2506-16_CONCAVE","26.0000","58.3000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R31","RESNET_2506-16_CONCAVE","26.0000","51.7000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R32","RESNET_2506-16_CONCAVE","26.0000","45.1000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R33","RESNET_2506-16_CONCAVE","26.0000","38.5000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R34","RESNET_2506-16_CONCAVE","26.0000","31.9000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R35","RESNET_2506-16_CONCAVE","26.0000","25.3000","0","TopLayer","CAT16-330J8LF","RES ARRAY 33 OHM 8 RES 2506"
"R36","YAGEO_RES_0402_1005","40.7000","63.3000","270","TopLayer","10 kOhms","RES 10K OHM 1% 1/16W 0402"
"U1","QFP50P2200X2200X165-145N","60.5500","44.7000","270","TopLayer","EP4CE22E22C6N","IC FPGA 79 I/O 144EQFP"
"Y2","DSX321G20M","85.3000","67.0000","0","TopLayer","DSX321G-25M-12P","Crystal or Oscillator"
