Altium Designer Pick and Place Locations
C:\Users\user\Documents\GitHub\CASS\CAM-ALTERA_STM\CAM_DVB-CI (08.03.2024 16-16-03)\SM_Project\CAM_DVB-CI\Project Outputs for CAM_DVB-CI\Pick Place for CAM_DVB-CI_r1.csv

========================================================================================================================
File Design Information:

Date:       11.03.24
Time:       12:41
Revision:   74cf593861e54259ddc5d293a0efc69f3ee6e8ca
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description","Height(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"C21","10 µF","TopLayer","CAP_POL_1206_3216","Molded Capacitor, 2-Leads, Body 3.20x1.6mm, IPC Medium Density","2362.205mil","925.197mil","270","CAP TANT 10UF 10% 16V 1206","66.929mil","2362.205mil","925.197mil","2362.205mil","976.772mil"
"C20","10 µF","TopLayer","CAP_POL_1206_3216","Molded Capacitor, 2-Leads, Body 3.20x1.6mm, IPC Medium Density","2470.472mil","925.197mil","270","CAP TANT 10UF 10% 16V 1206","66.929mil","2470.472mil","925.197mil","2470.472mil","976.772mil"
"R18","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","2007.874mil","1820.866mil","0","RES 0 OHM JUMPER 1/10W 0603","17.716mil","2007.874mil","1820.866mil","1982.283mil","1820.866mil"
"R17","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","1972.441mil","2094.488mil","180","RES 0 OHM JUMPER 1/10W 0603","17.716mil","1972.441mil","2094.488mil","1998.032mil","2094.488mil"
"R6","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","3433.071mil","1913.386mil","0","RES 0 OHM JUMPER 1/10W 0603","17.716mil","3433.071mil","1913.386mil","3407.480mil","1913.386mil"
"R7","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","4114.173mil","2031.496mil","270","RES 0 OHM JUMPER 1/10W 0603","17.716mil","4114.173mil","2031.496mil","4114.173mil","2057.087mil"
"TP4","PAD_TEST","TopLayer","PAD_TEST","","3228.347mil","1003.937mil","0","Test Point","53.150mil","3228.347mil","1003.937mil","3228.347mil","1003.937mil"
"TP3","PAD_TEST","TopLayer","PAD_TEST","","3854.331mil","1393.701mil","0","Test Point","53.150mil","3854.331mil","1393.701mil","3854.331mil","1393.701mil"
"TP2","PAD_TEST","TopLayer","PAD_TEST","","2470.472mil","1112.205mil","0","Test Point","53.150mil","2470.472mil","1112.205mil","2470.472mil","1112.205mil"
"TP8","CI_MCLKO","TopLayer","PAD_TEST","","3582.677mil","1791.339mil","0","Test Point","53.150mil","3582.677mil","1791.339mil","3582.677mil","1791.339mil"
