Altium Designer Pick and Place Locations
C:\documents\Altium\SM_Project\CASS\CAM-ALTERA_STM\V1.3\VM_CAM_DVB-CI\Project Outputs for CAM_DVB-CI\CAM_DVB-CI_rev.1.3_Pick&Place 2025-02-11 20-14\CAM_DVB-CI_rev.1.3_Pick&Place 2025-02-11 20-14.csv

========================================================================================================================
File Design Information:

Date:       11.02.25
Time:       20:14
Revision:   1e196b4f909365b29aaa9727bdc8e9ae89485c53
Variant:    release
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Comment","Description"
"C1","CAP_0402_1005","42.3000","70.1000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C2","CAP_0402_1005","42.8000","56.8000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C3","CAP_0402_1005","40.0600","45.9000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C4","CAP_0402_1005","40.3000","34.1000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C5","CAP_0402_1005","85.1000","70.6000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C6","CAP_0402_1005","83.6000","65.3000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C7","CAP_0402_1005","83.6000","66.6000","0","TopLayer","1 µF","CAP CER 1UF 10V X5R 0402"
"C8","CAP_0402_1005","90.6000","64.9000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C9","CAP_0402_1005","79.8000","56.6000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C10","CAP_0402_1005","89.2500","52.5000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C11","CAP_0402_1005","76.2500","58.7500","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C12","CAP_0402_1005","79.7000","66.6000","0","TopLayer","1 µF","CAP CER 1UF 10V X5R 0402"
"C13","CAP_0603_1608","79.6000","68.0000","0","TopLayer","CC0603KRX5R6BB106","CAP CER 10UF 10V X5R 0603"
"C18","CAP_0402_1005","88.9000","71.1750","0","TopLayer","12 pF","CAP CER 12PF 50V C0G/NPO 0402"
"C19","CAP_0402_1005","87.1000","66.7000","0","TopLayer","12 pF","CAP CER 12PF 50V C0G/NPO 0402"
